1;2023-04-27;hVuHvwamTDajPOop;219.0
2;2023-04-27;FSGNxHRRpbgARLiOVUr;311.0
3;2023-04-27;EEsFgwqiOEJR;304.0
4;2023-04-27;lWZaZyEWEDGwX;668.0
5;2023-04-27;XXRpbqGDpdnoaMoNv;421.0
6;2023-04-27;iNpKerByxZD;863.0
7;2023-04-27;UCUqNWUvladMVZIhzfe;716.0
8;2023-04-27;qVmDQnKkNoQgdK;821.0
9;2023-04-27;iOIpynSxkAPgKXzksYu;201.0
10;2023-04-27;LrLclgeVEYZyLoptws;841.0
11;2023-04-27;KocoLhBQCccHPmNUAJfS;881.0
12;2023-04-27;eHKzFGoXdm;555.0
13;2023-04-27;yKscSwHqXYAEbqIl;504.0
14;2023-04-27;ednOTvTaYW;395.0
15;2023-04-27;nQsvbCITvlMHaToIPSUm;904.0
16;2023-04-27;JaoSyjwOFygWzLnM;295.0
17;2023-04-27;UgAKrDmNKiuScww;178.0
18;2023-04-27;GrJIDUFfEvBifGyybC;948.0
19;2023-04-27;WRYLiNuIYwUgx;375.0
20;2023-04-27;MVJEWlPoxl;856.0
21;2023-04-27;PujQBkDPTp;508.0
22;2023-04-27;FIfaeCTxOCLRJIU;634.0
23;2023-04-27;ZRKoDMkaBSTgVcjydkYC;935.0
24;2023-04-27;eKpUpAZYGMWfpVajXdt;403.0
25;2023-04-27;cyYATomPjzh;444.0
26;2023-04-27;IjtRSsniYOXhwRBvxMfL;956.0
27;2023-04-27;MNsrkJZrgObRJRaiNmH;989.0
28;2023-04-27;tGCbDXJBJpN;112.0
29;2023-04-27;BuEvNWaENIHhW;906.0
30;2023-04-27;ZprxoAVdrc;235.0
31;2023-04-27;fTEOvLFDHEwoSBLOk;620.0
32;2023-04-27;QpOvulaAMdHijKnkVkmJ;594.0
33;2023-04-27;mBatIqqnIT;418.0
34;2023-04-27;sulXZGGGXrPYkrq;957.0
35;2023-04-27;wxqjzBZvhNUYSmxFai;197.0
36;2023-04-27;nJWRxeUbdJl;702.0
37;2023-04-27;UdJbvJBypLl;837.0
38;2023-04-27;FofJfUTHMYRIJByME;430.0
39;2023-04-27;LvxsetIFLLYkLfzyB;518.0
40;2023-04-27;WRPJTLLljKrmCVSzC;834.0
41;2023-04-27;UJuThpDiMbz;423.0
42;2023-04-27;hZJnfKYhdw;738.0
43;2023-04-27;OKEnrdcKOCFySjtwSG;778.0
44;2023-04-27;wSOFEAfYVhFKgVSoYMG;593.0
45;2023-04-27;OgyDSQitRooK;570.0
46;2023-04-27;MXEOFyrWXLHrbvcIThb;114.0
47;2023-04-27;rXstppHuSOHS;338.0
48;2023-04-27;QuZBHaDNOCoWpgxPJzMt;1000.0
49;2023-04-27;nZsisusyvEEXPKkLaIo;278.0
50;2023-04-27;mvpdzSUfxbsSkhGmHP;735.0
